Track,Artist,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Freak Like Me,Adina Howard,1995,4:13,4,0.655,0.837,11,-6.04,0,0.0723,0.0262,0.00000585,0.0454,0.66,91.014,58
Shy Guy,Diana King,1995,4:18,4,0.714,0.825,11,-5.447,0,0.0751,0.0128,0.000569,0.049,0.751,94.074,59
Macarena (Bayside Boys Remix),Los Del Rio,1995,4:11,4,0.741,0.868,1,-8.589,1,0.0527,0.249,0.00000219,0.0945,0.947,103.201,60
I’ll Be There,The Rembrandts,1995,3:52,4,0.527,0.852,2,-6.18,1,0.0456,0.0209,0.00000301,0.187,0.254,112.491,61
Breakfast at Tiffany’s,Deep Blue Something,1995,4:17,4,0.622,0.829,2,-5.548,1,0.029,0.11,0,0.0954,0.539,110.367,69
This is How We Do It,Montell Jordan,1995,3:58,4,0.799,0.623,0,-9.374,1,0.0812,0.0141,0,0.43,0.773,103.642,66
"Tonight, Tonight",Smashing Pumpkins,1995,3:20,4,0.686,0.783,4,-4.977,1,0.119,0.0764,0,0.163,0.814,99.978,68
Swallowed,Bush,1996,4:51,4,0.241,0.49,8,-8.262,1,0.0353,0.00182,0.000228,0.284,0.131,179.885,49
How Bizarre,OMC,1996,3:44,4,0.783,0.676,0,-7.737,1,0.0469,0.269,0,0.5,0.824,124.922,61
Don’t Speak,No Doubt,1996,3:12,4,0.767,0.561,2,-7.418,0,0.0509,0.118,0,0.0737,0.542,90.021,67
Santeria,Sublime,1996,3:02,4,0.682,0.765,1,-5.021,0,0.0395,0.0268,0.0000342,0.188,0.567,90.807,80
Wannabe,Spice Girls,1996,2:53,4,0.768,0.864,11,-6.149,1,0.0324,0.101,0,0.162,0.891,110.009,80
Lovefool,The Cardigans,1996,3:13,4,0.704,0.636,9,-6.029,1,0.0252,0.0344,0,0.35,0.89,111.845,81
Zoot Suit Riot,Cherry Poppin' Daddies,1997,3:53,4,0.568,0.706,8,-8.679,0,0.0837,0.175,0,0.157,0.896,184.126,48
Kiss the Rain,Billie Myers,1997,4:20,4,0.56,0.0519,8,-22.616,1,0.0423,0.99,0.905,0.117,0.182,132.691,60
Baby Come Home,Bush,1997,3:35,4,0.631,0.505,7,-12.083,0,0.0903,0.553,0,0.137,0.687,90.204,61
Never Let You Go,Third Eye Blind,1997,3:57,4,0.728,0.94,4,-5.034,1,0.0368,0.0814,0.000162,0.109,0.967,113.76,64
Tubthumping,Chumbawamba,1997,4:38,4,0.348,0.88,2,-7.366,1,0.0978,0.128,0,0.357,0.606,101.185,65
Flagpole Sitta,Harvey Danger,1997,3:37,4,0.361,0.901,4,-4.133,0,0.0443,0.00152,0.000263,0.286,0.482,144.97,65
Save Tonight,Eagle-Eye Cherry,1997,3:59,4,0.547,0.693,0,-8.786,1,0.0353,0.0000924,0.0000546,0.113,0.583,119.567,66
Jumper,Third Eye Blind,1997,4:32,4,0.599,0.543,0,-9.226,1,0.0302,0.0129,0.00204,0.291,0.624,91.105,66
Bitch,Meredith Brooks,1997,5:10,4,0.587,0.698,1,-8.948,1,0.0943,0.0152,0,0.442,0.0985,133.954,71
Around the World,Daft Punk,1997,7:09,4,0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,72
Wishin',INOJ,1997,3:14,4,0.65,0.613,9,-6.13,0,0.128,0.00336,0,0.267,0.0804,149.972,76
I Want You,Mexico 70,1997,2:56,4,0.469,0.538,8,-13.559,1,0.0575,0.305,0.000114,0.37,0.885,196.606,78
Torn,Natalie Imbruglia,1997,4:04,4,0.575,0.886,5,-5.182,1,0.034,0.0647,0.000187,0.709,0.609,96.31,80
Bitter Sweet Symphony,The Verve,1997,5:57,4,0.356,0.917,9,-6.006,1,0.0479,0.0335,0,0.406,0.518,171.176,80
